SYMBOL,R1,R2,R3,R4,R5,R6
Smim24,22,0,5,66,18,21
Smim26,50,76,134,114,122,105
Smim27,105,71,173,58,137,122
Smim3,481,438,387,775,680,814
Smim34,0,0,0,0,0,0
Smim4,364,176,347,243,316,278
Smim5,191,275,123,83,149,67
Smim6,18,51,22,26,44,5
Smim7,3370,2309,3007,2669,3269,2773
Smim8,377,268,271,268,279,267
Smim9,0,0,0,0,0,0
Smlr1,19,0,0,0,8,0
Smn1,456,511,623,515,635,476
Smndc1,1393,996,1384,1118,1168,1062
Smo,3701,4715,5206,4080,4647,4493
Smoc1,1172,942,1089,956,1334,817
Smoc2,1766,1731,1974,3538,2925,2892
Smok2a,0,0,0,0,0,0
Smok2b,0,0,0,0,4,11
Smok3a,0,0,0,0,0,0
Smok3b,0,0,0,0,0,0
Smok3c,0,0,0,0,0,0
Smok4a,1,0,1,0,0,2
Smox,147,266,368,387,306,406
Smpd1,756,1018,861,864,997,798
Smpd2,934,955,1320,716,954,635
Smpd3,0,121,1,57,101,31
Smpd4,1264,1715,1563,1317,1981,1450
Smpd5,0,41,24,31,23,18
Smpdl3a,1705,1487,2148,1982,2105,1656
Smpdl3b,382,349,235,707,718,692
Smpx,0,0,0,0,0,0
Smr2,0,0,0,0,0,0
Smr3a,0,0,0,0,0,0
Sms,1307,1300,1682,935,1011,637
Sms-ps,39,128,240,225,134,60
Smt3h1-ps,0,0,0,0,0,0
Smt3h2-ps,0,0,0,0,0,0
Smt3h2-ps2,0,0,0,0,0,0
Smt3h2-ps4,0,0,0,0,0,0
Smtn,1366,1120,1887,2122,2848,2743
Smtnl1,0,0,0,0,0,0
Smtnl2,34,94,94,51,69,80
Smu1,1640,1862,2137,1956,2065,1784
Smug1,554,628,655,562,742,658
Smurf1,2677,3150,3527,2526,2882,2541
Smurf2,2568,2543,2813,2710,2685,2635
Smyd1,0,0,0,0,1,0
Smyd2,375,722,744,844,1055,604
Smyd3,559,543,572,441,485,438
Smyd4,227,189,143,248,369,210
Smyd5,291,710,638,463,921,765
Snai1,7,16,15,29,11,11
Snai2,546,1002,1217,1164,2294,1298
Snai3,0,0,0,6,14,6
Snap23,614,873,1022,1041,1255,1141
Snap25,0,0,0,0,0,0
Snap29,404,475,468,525,598,457
Snap47,614,617,847,849,752,767
Snap91,20,143,10,4,6,4
Snapc1,459,712,891,398,574,534
Snapc2,510,416,382,434,505,441
Snapc3,551,1178,917,703,1001,621
